Student Survey,"","","","","","","","","","","","","","",Employee Survey,"","","","","","","","","","","","","","","","","","","","","","","","","","","",Guardian Surveys,"","","","","","","","","","","","","","","","","","","","","","","",""
10X037 - P.S. X037 - Multiple Intelligence School,,66.0,63.0,68.0,75.0,75.0,86.0,78.0,64.0,44.0,77.0,47.0,55.0,54.0,82.0,,93.0,,,58.0,81.0,95.0,,97.0,95.0,78.0,83.0,94.0,89.0,29.0,89.0,87.0,59.0,95.0,72.0,89.0,85.0,94.0,,54.0,73.0,74.0,,,,,,,,,,,,,,,,,92.0,97.0,95.0,97.0,97.0,95.0,97.0,96.0,90.0,
10X045 - Thomas C. Giordano Middle School 45,,66.0,71.0,70.0,80.0,83.0,84.0,89.0,64.0,49.0,75.0,48.0,58.0,54.0,79.0,,90.0,,,45.0,68.0,86.0,,98.0,99.0,75.0,72.0,98.0,58.0,35.0,66.0,61.0,45.0,,58.0,83.0,66.0,83.0,,59.0,52.0,87.0,,,,,,,,,,,,,,,,,,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,
10X080 - J.H.S. 080 The Mosholu Parkway,,80.0,76.0,78.0,89.0,86.0,88.0,88.0,76.0,47.0,88.0,84.0,63.0,85.0,86.0,,99.0,,,89.0,96.0,98.0,,100.0,98.0,89.0,98.0,100.0,96.0,74.0,94.0,94.0,90.0,,97.0,59.0,88.0,94.0,,79.0,99.0,93.0,,,,,,,,,,,,,,,,,,92.0,86.0,93.0,91.0,82.0,95.0,94.0,85.0,
10X086 - P.S. 086 Kingsbridge Heights,,74.0,76.0,81.0,90.0,85.0,93.0,93.0,76.0,55.0,87.0,71.0,65.0,64.0,84.0,,95.0,,,79.0,92.0,98.0,100.0,89.0,96.0,94.0,94.0,99.0,91.0,71.0,90.0,93.0,84.0,95.0,93.0,95.0,93.0,96.0,,75.0,92.0,91.0,,,,,,,,,,,,,,,100.0,82.0,96.0,96.0,98.0,98.0,95.0,92.0,99.0,98.0,92.0,100.0
10X095 - P.S. 095 Sheila Mencher,,90.0,94.0,88.0,85.0,95.0,81.0,91.0,91.0,27.0,97.0,75.0,91.0,71.0,95.0,,83.0,,,44.0,44.0,77.0,,94.0,87.0,66.0,80.0,90.0,67.0,20.0,63.0,57.0,62.0,65.0,70.0,70.0,78.0,92.0,,46.0,55.0,77.0,,,,,,,,,,,,,,,,,98.0,99.0,99.0,99.0,98.0,93.0,97.0,98.0,76.0,
10X118 - J.H.S. 118 William W. Niles,,67.0,67.0,71.0,79.0,85.0,84.0,79.0,64.0,49.0,74.0,61.0,52.0,58.0,79.0,,87.0,,,65.0,69.0,77.0,,97.0,91.0,72.0,73.0,92.0,75.0,43.0,73.0,78.0,64.0,,61.0,86.0,78.0,87.0,,45.0,64.0,75.0,,,,,,,,,,,,,,,,,,93.0,96.0,94.0,92.0,89.0,93.0,95.0,91.0,
10X141 - Riverdale / Kingsbridge Academy (Middle School / High School 141),,60.0,63.0,70.0,81.0,75.0,85.0,81.0,61.0,50.0,84.0,60.0,53.0,69.0,78.0,,90.0,,,76.0,92.0,92.0,,98.0,95.0,83.0,86.0,95.0,89.0,53.0,80.0,75.0,75.0,,87.0,85.0,87.0,94.0,,67.0,83.0,92.0,,,,,,,,,,,,,,,,,,89.0,79.0,92.0,87.0,86.0,93.0,92.0,83.0,
10X206 - I.S. 206 Ann Mersereau,,64.0,69.0,66.0,77.0,77.0,84.0,82.0,67.0,47.0,79.0,63.0,60.0,55.0,78.0,,97.0,,,76.0,95.0,93.0,,91.0,100.0,82.0,90.0,100.0,88.0,68.0,81.0,79.0,78.0,,86.0,87.0,88.0,97.0,,71.0,86.0,93.0,,,,,,,,,,,,,,,,,,99.0,100.0,100.0,100.0,96.0,100.0,99.0,99.0,
10X213 - Bronx Engineering and Technology Academy,,65.0,73.0,75.0,88.0,86.0,93.0,92.0,73.0,64.0,79.0,69.0,63.0,75.0,84.0,,94.0,,,86.0,100.0,94.0,,100.0,100.0,92.0,99.0,98.0,98.0,84.0,97.0,96.0,92.0,,96.0,98.0,96.0,97.0,,92.0,96.0,97.0,,,,,,,,,,,,,,,,,,97.0,95.0,98.0,97.0,81.0,99.0,95.0,93.0,
10X225 - Theatre Arts Production Company School,,66.0,69.0,69.0,89.0,82.0,91.0,88.0,69.0,58.0,79.0,60.0,57.0,75.0,84.0,,80.0,,,58.0,83.0,90.0,,93.0,91.0,63.0,74.0,88.0,80.0,45.0,61.0,71.0,57.0,,81.0,66.0,75.0,90.0,,56.0,86.0,87.0,,,,,,,,,,,,,,,,,,92.0,91.0,95.0,91.0,87.0,94.0,94.0,86.0,
10X228 - Jonas Bronck Academy,,64.0,63.0,71.0,78.0,70.0,81.0,87.0,62.0,56.0,81.0,66.0,54.0,64.0,77.0,,88.0,,,75.0,97.0,96.0,,88.0,99.0,90.0,95.0,98.0,93.0,58.0,92.0,90.0,81.0,,98.0,98.0,89.0,97.0,,81.0,95.0,96.0,,,,,,,,,,,,,,,,,,96.0,90.0,98.0,96.0,92.0,97.0,95.0,94.0,
"10X237 - The Marie Curie School for Medicine, Nursing, and Health Professions",,65.0,81.0,68.0,91.0,88.0,91.0,95.0,71.0,76.0,91.0,67.0,63.0,85.0,87.0,,81.0,,,34.0,84.0,93.0,,96.0,96.0,75.0,87.0,92.0,85.0,53.0,79.0,81.0,52.0,,91.0,63.0,79.0,94.0,,66.0,91.0,91.0,,,,,,,,,,,,,,,,,,91.0,90.0,96.0,92.0,78.0,96.0,94.0,88.0,
10X243 - West Bronx Academy for the Future,,58.0,63.0,64.0,80.0,81.0,85.0,86.0,61.0,46.0,78.0,52.0,53.0,55.0,78.0,,79.0,,,34.0,70.0,89.0,,94.0,93.0,45.0,81.0,83.0,74.0,33.0,63.0,65.0,43.0,,71.0,53.0,60.0,88.0,,69.0,83.0,72.0,,,,,,,,,,,,,,,,,,98.0,98.0,99.0,98.0,96.0,99.0,99.0,97.0,
10X244 - The New School for Leadership and Journalism,,70.0,81.0,77.0,88.0,93.0,94.0,90.0,75.0,55.0,87.0,71.0,65.0,72.0,86.0,,99.0,,,83.0,100.0,97.0,,99.0,98.0,83.0,100.0,100.0,97.0,61.0,98.0,97.0,88.0,,99.0,94.0,96.0,99.0,,80.0,100.0,95.0,,,,,,,,,,,,,,,,,,98.0,97.0,100.0,99.0,99.0,99.0,100.0,98.0,
10X254 - I.S. 254,,64.0,60.0,65.0,75.0,76.0,78.0,72.0,58.0,37.0,68.0,52.0,48.0,45.0,77.0,,74.0,,,40.0,31.0,89.0,,87.0,86.0,63.0,70.0,89.0,77.0,6.0,70.0,64.0,39.0,,69.0,88.0,68.0,100.0,,38.0,76.0,60.0,,,,,,,,,,,,,,,,,,95.0,90.0,96.0,93.0,89.0,96.0,95.0,91.0,
10X264 - Bronx Academy for Software Engineering (BASE),,62.0,75.0,67.0,82.0,80.0,93.0,84.0,65.0,58.0,76.0,51.0,56.0,63.0,82.0,,83.0,,,63.0,96.0,89.0,,95.0,98.0,70.0,80.0,97.0,83.0,35.0,86.0,86.0,73.0,,85.0,57.0,82.0,92.0,,92.0,85.0,90.0,,,,,,,,,,,,,,,,,,93.0,89.0,92.0,91.0,79.0,93.0,94.0,88.0,
10X268 - Kingsbridge International High School,,62.0,71.0,66.0,84.0,76.0,81.0,83.0,67.0,53.0,79.0,70.0,58.0,62.0,76.0,,80.0,,,55.0,87.0,86.0,,88.0,86.0,47.0,77.0,90.0,70.0,33.0,81.0,93.0,56.0,,64.0,93.0,58.0,,,60.0,77.0,71.0,,,,,,,,,,,,,,,,,,91.0,,95.0,92.0,83.0,96.0,95.0,91.0,
"10X279 - P.S. 279 Captain Manuel Rivera, Jr.",,69.0,75.0,75.0,83.0,84.0,91.0,88.0,69.0,54.0,84.0,57.0,59.0,65.0,81.0,,96.0,,,83.0,90.0,97.0,,99.0,99.0,90.0,98.0,100.0,98.0,74.0,97.0,96.0,85.0,78.0,96.0,93.0,96.0,92.0,,86.0,97.0,93.0,,,,,,,,,,,,,,,,,98.0,98.0,97.0,100.0,98.0,95.0,100.0,99.0,93.0,
10X280 - P.S./M.S. 280 Mosholu Parkway,,67.0,79.0,77.0,75.0,87.0,91.0,84.0,70.0,56.0,87.0,58.0,63.0,69.0,86.0,,92.0,,,78.0,88.0,93.0,,100.0,94.0,87.0,92.0,100.0,96.0,67.0,97.0,90.0,82.0,98.0,95.0,75.0,90.0,97.0,,74.0,91.0,91.0,,,,,,,,,,,,,,,,,91.0,95.0,89.0,94.0,94.0,91.0,96.0,97.0,89.0,
10X284 - Bronx School of Law and Finance,,60.0,80.0,67.0,90.0,89.0,92.0,92.0,71.0,70.0,89.0,76.0,63.0,81.0,85.0,,92.0,,,78.0,94.0,97.0,,100.0,99.0,83.0,99.0,99.0,96.0,81.0,96.0,94.0,84.0,,98.0,96.0,96.0,,,80.0,99.0,98.0,,,,,,,,,,,,,,,,,,99.0,99.0,100.0,98.0,91.0,98.0,99.0,99.0,
10X308 - Bronx Dance Academy School,,70.0,76.0,76.0,85.0,91.0,92.0,90.0,69.0,56.0,90.0,78.0,65.0,66.0,82.0,,95.0,,,74.0,100.0,93.0,,98.0,100.0,92.0,93.0,94.0,93.0,40.0,97.0,98.0,82.0,,90.0,100.0,95.0,100.0,,66.0,82.0,90.0,,,,,,,,,,,,,,,,,,94.0,98.0,96.0,90.0,86.0,96.0,93.0,89.0,
10X315 - P.S. 315 Lab School,,66.0,67.0,78.0,79.0,75.0,86.0,87.0,65.0,54.0,84.0,48.0,52.0,59.0,82.0,,90.0,,,66.0,92.0,96.0,,100.0,98.0,89.0,100.0,100.0,95.0,85.0,100.0,100.0,74.0,97.0,92.0,87.0,94.0,100.0,,88.0,94.0,100.0,,,,,,,,,,,,,,,,,90.0,89.0,92.0,96.0,94.0,94.0,97.0,96.0,91.0,
10X319 - Providing Urban Learners Success In Education High School,,95.0,99.0,99.0,99.0,99.0,100.0,100.0,98.0,96.0,99.0,69.0,91.0,97.0,99.0,,97.0,,,73.0,100.0,98.0,,100.0,100.0,87.0,100.0,100.0,100.0,100.0,100.0,100.0,77.0,,97.0,92.0,95.0,,,93.0,100.0,95.0,,,,,,,,,,,,,,,,,,90.0,100.0,97.0,93.0,87.0,100.0,96.0,93.0,
10X331 - The Bronx School of Young Leaders,,69.0,71.0,74.0,83.0,85.0,90.0,89.0,67.0,51.0,79.0,59.0,57.0,56.0,82.0,,93.0,,,84.0,97.0,94.0,,98.0,99.0,88.0,95.0,99.0,93.0,43.0,89.0,88.0,79.0,,99.0,79.0,91.0,92.0,,70.0,98.0,93.0,,,,,,,,,,,,,,,,,,91.0,60.0,95.0,92.0,89.0,90.0,95.0,91.0,
10X342 - International School for Liberal Arts,,66.0,80.0,76.0,87.0,85.0,89.0,90.0,74.0,56.0,83.0,66.0,61.0,72.0,82.0,,86.0,,,62.0,81.0,94.0,,92.0,94.0,79.0,92.0,97.0,90.0,42.0,89.0,84.0,69.0,,89.0,70.0,79.0,93.0,,76.0,93.0,90.0,,,,,,,,,,,,,,,,,,94.0,87.0,95.0,93.0,88.0,95.0,95.0,88.0,
10X351 - Bronx Collaborative High School,,55.0,62.0,61.0,86.0,79.0,87.0,83.0,60.0,54.0,75.0,57.0,52.0,59.0,77.0,,70.0,,,36.0,56.0,85.0,,96.0,96.0,54.0,59.0,80.0,61.0,38.0,42.0,65.0,43.0,,58.0,77.0,63.0,95.0,,61.0,56.0,75.0,,,,,,,,,,,,,,,,,,92.0,94.0,89.0,83.0,80.0,90.0,89.0,88.0,
10X353 - World View High School,,72.0,77.0,79.0,90.0,84.0,91.0,88.0,74.0,62.0,87.0,72.0,61.0,78.0,85.0,,90.0,,,54.0,88.0,87.0,,93.0,96.0,76.0,84.0,93.0,85.0,57.0,76.0,83.0,59.0,,76.0,84.0,79.0,89.0,,68.0,80.0,77.0,,,,,,,,,,,,,,,,,,98.0,96.0,98.0,97.0,93.0,97.0,98.0,97.0,
10X363 - Academy For Personal Leadership And Excellence,,65.0,80.0,70.0,86.0,85.0,90.0,89.0,69.0,61.0,85.0,66.0,66.0,70.0,85.0,,90.0,,,73.0,92.0,94.0,,97.0,98.0,73.0,90.0,94.0,86.0,52.0,81.0,86.0,73.0,,91.0,84.0,83.0,95.0,,73.0,91.0,77.0,,,,,,,,,,,,,,,,,100.0,94.0,94.0,96.0,92.0,86.0,97.0,96.0,90.0,
10X368 - In-Tech Academy (M.S. / High School 368),,64.0,69.0,69.0,82.0,85.0,88.0,80.0,66.0,50.0,82.0,59.0,56.0,65.0,78.0,,86.0,,,61.0,89.0,87.0,,99.0,94.0,65.0,82.0,89.0,78.0,52.0,76.0,74.0,61.0,,82.0,83.0,74.0,91.0,,65.0,78.0,77.0,,,,,,,,,,,,,,,,,,90.0,85.0,95.0,88.0,84.0,92.0,91.0,88.0,
10X374 - Knowledge and Power Preparatory Academy International HS(Kappa),,72.0,80.0,78.0,89.0,85.0,90.0,93.0,77.0,56.0,84.0,68.0,60.0,80.0,84.0,,82.0,,,65.0,92.0,92.0,,99.0,96.0,71.0,90.0,90.0,87.0,67.0,88.0,86.0,70.0,,87.0,77.0,80.0,91.0,,74.0,92.0,81.0,,,,,,,,,,,,,,,,,,91.0,77.0,93.0,90.0,84.0,93.0,93.0,86.0,
10X390 - M.S. 390,,71.0,70.0,77.0,84.0,86.0,91.0,85.0,75.0,42.0,73.0,60.0,61.0,60.0,85.0,,100.0,,,69.0,59.0,86.0,,100.0,90.0,68.0,88.0,97.0,90.0,18.0,82.0,78.0,71.0,,78.0,88.0,88.0,80.0,,60.0,80.0,80.0,,,,,,,,,,,,,,,,,,97.0,99.0,98.0,96.0,92.0,97.0,98.0,94.0,
10X391 - The Angelo Patri Middle School,,63.0,69.0,65.0,77.0,74.0,82.0,83.0,67.0,45.0,72.0,64.0,55.0,61.0,73.0,,88.0,,,58.0,94.0,95.0,,92.0,99.0,75.0,94.0,97.0,87.0,54.0,90.0,84.0,66.0,,83.0,90.0,81.0,95.0,,66.0,92.0,88.0,,,,,,,,,,,,,,,,,,95.0,89.0,98.0,95.0,93.0,97.0,97.0,92.0,
10X397 - English Language Learners and Intl Support Preparatory Academy (ELLIS),,74.0,90.0,83.0,88.0,90.0,92.0,94.0,80.0,72.0,85.0,79.0,69.0,81.0,90.0,,95.0,,,66.0,100.0,91.0,,96.0,98.0,80.0,87.0,100.0,88.0,71.0,86.0,85.0,68.0,,88.0,83.0,84.0,,,60.0,72.0,91.0,,,,,,,,,,,,,,,,,,98.0,,100.0,97.0,84.0,100.0,100.0,89.0,
10X433 - High School for Teaching and the Professions,,63.0,79.0,67.0,85.0,85.0,89.0,92.0,68.0,62.0,87.0,68.0,58.0,75.0,86.0,,93.0,,,68.0,85.0,95.0,,93.0,98.0,75.0,96.0,98.0,93.0,75.0,92.0,92.0,68.0,,86.0,90.0,82.0,93.0,,83.0,93.0,87.0,,,,,,,,,,,,,,,,,,98.0,100.0,100.0,97.0,93.0,99.0,99.0,99.0,
10X434 - Belmont Preparatory High School,,59.0,69.0,67.0,85.0,78.0,84.0,79.0,62.0,69.0,77.0,51.0,52.0,70.0,75.0,,88.0,,,62.0,100.0,95.0,,97.0,99.0,84.0,93.0,93.0,91.0,79.0,94.0,92.0,69.0,,89.0,71.0,89.0,100.0,,77.0,94.0,92.0,,,,,,,,,,,,,,,,,,93.0,95.0,95.0,90.0,80.0,95.0,93.0,85.0,
10X437 - Fordham High School for the Arts,,74.0,80.0,79.0,92.0,88.0,92.0,91.0,76.0,73.0,85.0,61.0,56.0,86.0,85.0,,93.0,,,74.0,79.0,94.0,,95.0,100.0,88.0,89.0,95.0,92.0,76.0,90.0,85.0,79.0,,88.0,58.0,78.0,83.0,,83.0,82.0,91.0,,,,,,,,,,,,,,,,,,99.0,100.0,100.0,99.0,97.0,99.0,99.0,98.0,
10X438 - Fordham Leadership Academy,,71.0,78.0,79.0,90.0,85.0,91.0,94.0,76.0,68.0,80.0,65.0,60.0,78.0,85.0,,79.0,,,32.0,100.0,80.0,,95.0,100.0,70.0,80.0,75.0,50.0,63.0,75.0,84.0,18.0,,71.0,63.0,68.0,,,35.0,72.0,88.0,,,,,,,,,,,,,,,,,,97.0,94.0,95.0,95.0,95.0,97.0,97.0,94.0,
10X439 - Bronx High School for Law and Community Service,,65.0,72.0,70.0,90.0,85.0,91.0,95.0,68.0,67.0,83.0,67.0,57.0,79.0,82.0,,91.0,,,71.0,100.0,89.0,,100.0,100.0,85.0,92.0,93.0,95.0,72.0,91.0,85.0,71.0,,90.0,83.0,90.0,96.0,,79.0,93.0,97.0,,,,,,,,,,,,,,,,,,94.0,91.0,95.0,95.0,85.0,97.0,95.0,89.0,
10X440 - DeWitt Clinton High School,,67.0,76.0,77.0,91.0,86.0,93.0,91.0,73.0,57.0,87.0,71.0,62.0,77.0,88.0,,87.0,,,65.0,97.0,82.0,,95.0,92.0,81.0,88.0,93.0,90.0,56.0,87.0,73.0,55.0,,86.0,82.0,81.0,79.0,,64.0,86.0,87.0,,,,,,,,,,,,,,,,,,95.0,93.0,96.0,95.0,92.0,96.0,96.0,95.0,
"10X442 - Celia Cruz Bronx High School of Music, The",,70.0,84.0,80.0,93.0,86.0,95.0,97.0,75.0,69.0,88.0,66.0,63.0,85.0,88.0,,90.0,,,77.0,94.0,95.0,,98.0,99.0,80.0,93.0,90.0,92.0,71.0,93.0,92.0,78.0,,90.0,75.0,80.0,100.0,,79.0,91.0,86.0,,,,,,,,,,,,,,,,,,96.0,99.0,97.0,93.0,87.0,98.0,95.0,87.0,
10X445 - The Bronx High School of Science,,76.0,85.0,81.0,89.0,83.0,93.0,87.0,69.0,77.0,88.0,72.0,57.0,92.0,85.0,,88.0,,,85.0,86.0,88.0,,95.0,93.0,77.0,90.0,85.0,87.0,67.0,87.0,79.0,75.0,,92.0,87.0,86.0,95.0,,69.0,89.0,89.0,,,,,,,,,,,,,,,,,,95.0,79.0,97.0,91.0,78.0,97.0,93.0,88.0,
10X447 - Creston Academy,,61.0,63.0,62.0,73.0,76.0,73.0,78.0,60.0,50.0,77.0,61.0,55.0,57.0,73.0,,92.0,,,68.0,81.0,93.0,,88.0,98.0,69.0,88.0,93.0,83.0,38.0,80.0,91.0,57.0,,89.0,93.0,73.0,90.0,,57.0,84.0,79.0,,,,,,,,,,,,,,,,,,95.0,95.0,96.0,95.0,91.0,96.0,98.0,90.0,
10X477 - Marble Hill High School for International Studies,,66.0,73.0,75.0,88.0,84.0,91.0,87.0,65.0,65.0,77.0,62.0,52.0,76.0,80.0,,86.0,,,65.0,87.0,88.0,,97.0,94.0,63.0,73.0,90.0,80.0,45.0,68.0,92.0,61.0,,89.0,68.0,82.0,88.0,,82.0,83.0,96.0,,,,,,,,,,,,,,,,,,95.0,93.0,97.0,93.0,82.0,94.0,95.0,85.0,
10X524 - Crotona International High School,,57.0,73.0,65.0,86.0,81.0,87.0,85.0,65.0,58.0,80.0,66.0,60.0,66.0,75.0,,93.0,,,76.0,84.0,97.0,,100.0,98.0,91.0,95.0,96.0,93.0,80.0,92.0,93.0,82.0,,86.0,89.0,95.0,91.0,,85.0,91.0,95.0,,,,,,,,,,,,,,,,,,99.0,100.0,99.0,99.0,87.0,99.0,99.0,99.0,
10X546 - Bronx Theatre High School,,67.0,81.0,73.0,91.0,91.0,90.0,95.0,79.0,54.0,85.0,73.0,65.0,80.0,89.0,,92.0,,,75.0,100.0,94.0,,100.0,99.0,80.0,98.0,98.0,91.0,78.0,92.0,95.0,79.0,,91.0,81.0,90.0,93.0,,73.0,87.0,98.0,,,,,,,,,,,,,,,,,,97.0,89.0,97.0,96.0,85.0,97.0,97.0,95.0,
10X549 - Discovery High School,,63.0,69.0,76.0,86.0,78.0,93.0,92.0,72.0,60.0,84.0,64.0,61.0,71.0,85.0,,82.0,,,72.0,83.0,88.0,,91.0,89.0,89.0,86.0,90.0,80.0,71.0,87.0,79.0,60.0,,82.0,82.0,88.0,90.0,,66.0,83.0,97.0,,,,,,,,,,,,,,,,,,98.0,92.0,99.0,97.0,81.0,98.0,98.0,97.0,
10X565 - High School for Energy and Technology,,56.0,65.0,62.0,79.0,71.0,84.0,80.0,62.0,51.0,76.0,56.0,51.0,63.0,76.0,,87.0,,,50.0,72.0,91.0,,93.0,99.0,75.0,88.0,95.0,89.0,35.0,86.0,81.0,56.0,,65.0,87.0,81.0,,,68.0,71.0,73.0,,,,,,,,,,,,,,,,,,96.0,99.0,95.0,96.0,92.0,94.0,96.0,96.0,
10X696 - High School of American Studies at Lehman College,,73.0,86.0,80.0,89.0,83.0,88.0,90.0,69.0,86.0,91.0,75.0,61.0,91.0,83.0,,94.0,,,95.0,93.0,95.0,,96.0,99.0,76.0,85.0,95.0,83.0,96.0,80.0,74.0,93.0,,96.0,74.0,79.0,100.0,,85.0,89.0,94.0,,,,,,,,,,,,,,,,,,93.0,73.0,95.0,92.0,84.0,98.0,93.0,85.0,
11X019 - P.S. 019 Judith K. Weiss,,64.0,69.0,75.0,79.0,74.0,83.0,89.0,67.0,58.0,87.0,66.0,60.0,72.0,78.0,,89.0,,,71.0,98.0,96.0,,99.0,100.0,89.0,97.0,100.0,97.0,55.0,94.0,91.0,71.0,100.0,99.0,94.0,84.0,98.0,,62.0,98.0,93.0,,,,,,,,,,,,,,,100.0,97.0,97.0,95.0,84.0,96.0,94.0,95.0,98.0,97.0,91.0,100.0
11X083 - P.S. 083 Donald Hertz,,67.0,73.0,76.0,82.0,83.0,86.0,85.0,67.0,51.0,86.0,64.0,57.0,70.0,83.0,,89.0,,,62.0,88.0,94.0,100.0,97.0,97.0,83.0,95.0,98.0,94.0,52.0,93.0,87.0,65.0,96.0,95.0,84.0,85.0,95.0,,65.0,95.0,93.0,,,,,,,,,,,,,,,,,97.0,93.0,89.0,96.0,94.0,89.0,97.0,97.0,86.0,
11X089 - P.S. 089 Bronx,,71.0,69.0,75.0,83.0,85.0,85.0,81.0,71.0,46.0,79.0,56.0,60.0,61.0,83.0,,94.0,90.0,80.0,71.0,96.0,95.0,100.0,97.0,98.0,86.0,95.0,98.0,94.0,40.0,92.0,88.0,73.0,86.0,88.0,77.0,85.0,94.0,100.0,73.0,89.0,85.0,100.0,,,,,,,,,,,,,,80.0,97.0,93.0,91.0,86.0,96.0,93.0,91.0,96.0,96.0,86.0,97.0
11X108 - P.S. 108 Philip J. Abinanti,,68.0,74.0,75.0,84.0,78.0,85.0,93.0,66.0,65.0,90.0,66.0,59.0,75.0,76.0,,89.0,,,75.0,81.0,95.0,,87.0,97.0,89.0,95.0,97.0,90.0,69.0,93.0,92.0,81.0,100.0,91.0,98.0,89.0,97.0,,74.0,89.0,91.0,,,,,,,,,,,,,,,90.0,100.0,95.0,94.0,87.0,96.0,95.0,95.0,97.0,97.0,90.0,100.0
11X127 - J.H.S. 127 The Castle Hill,,65.0,70.0,71.0,80.0,82.0,84.0,81.0,67.0,45.0,81.0,57.0,57.0,61.0,79.0,,90.0,,,72.0,93.0,94.0,,96.0,96.0,82.0,89.0,90.0,95.0,32.0,86.0,87.0,79.0,,91.0,75.0,89.0,94.0,,74.0,86.0,90.0,,,,,,,,,,,,,,,,,,89.0,89.0,91.0,84.0,81.0,91.0,90.0,85.0,
11X144 - J.H.S. 144 Michelangelo,,72.0,76.0,82.0,84.0,89.0,96.0,92.0,75.0,51.0,85.0,66.0,61.0,55.0,85.0,,100.0,,,86.0,94.0,96.0,,97.0,99.0,95.0,100.0,100.0,96.0,76.0,98.0,97.0,84.0,,97.0,98.0,98.0,99.0,,92.0,97.0,83.0,,,,,,,,,,,,,,,,,,95.0,88.0,95.0,96.0,92.0,99.0,99.0,92.0,
11X175 - P.S. 175 City Island,,65.0,69.0,75.0,80.0,81.0,90.0,85.0,64.0,53.0,91.0,68.0,60.0,62.0,76.0,,98.0,,,79.0,95.0,92.0,,100.0,100.0,90.0,100.0,100.0,98.0,55.0,95.0,95.0,78.0,100.0,100.0,100.0,87.0,98.0,,87.0,95.0,100.0,,,,,,,,,,,,,,,,,84.0,93.0,85.0,94.0,91.0,96.0,94.0,94.0,84.0,
11X180 - M.S. 180 Dr. Daniel Hale Williams,,66.0,63.0,67.0,76.0,80.0,85.0,79.0,62.0,35.0,76.0,53.0,52.0,48.0,74.0,,87.0,,,53.0,83.0,90.0,,96.0,90.0,80.0,85.0,97.0,87.0,25.0,83.0,84.0,56.0,,75.0,84.0,80.0,90.0,,58.0,77.0,79.0,,,,,,,,,,,,,,,,,,88.0,91.0,92.0,88.0,87.0,93.0,92.0,86.0,
11X181 - I.S. 181 Pablo Casals,,72.0,76.0,79.0,85.0,88.0,91.0,88.0,73.0,56.0,90.0,62.0,63.0,73.0,83.0,,93.0,,,80.0,77.0,90.0,,95.0,98.0,74.0,88.0,97.0,90.0,45.0,93.0,83.0,77.0,,84.0,79.0,84.0,89.0,,52.0,76.0,75.0,,,,,,,,,,,,,,,,,,96.0,91.0,97.0,94.0,88.0,96.0,97.0,87.0,
11X194 - P.S./M.S. 194,,69.0,65.0,74.0,80.0,80.0,89.0,85.0,68.0,46.0,82.0,56.0,58.0,65.0,83.0,,82.0,,,55.0,47.0,79.0,,83.0,88.0,64.0,70.0,90.0,69.0,32.0,65.0,70.0,51.0,80.0,68.0,69.0,67.0,85.0,,33.0,58.0,76.0,,,,,,,,,,,,,,,,,91.0,93.0,89.0,95.0,93.0,89.0,96.0,96.0,88.0,
11X249 - Bronx Health Sciences High School,,70.0,85.0,78.0,89.0,87.0,93.0,90.0,74.0,73.0,89.0,79.0,65.0,85.0,87.0,,98.0,,,88.0,93.0,98.0,,98.0,99.0,94.0,93.0,95.0,95.0,93.0,95.0,92.0,89.0,,97.0,90.0,96.0,97.0,,88.0,95.0,92.0,,,,,,,,,,,,,,,,,,95.0,90.0,98.0,95.0,83.0,96.0,97.0,95.0,
11X265 - Bronx Lab School,,83.0,96.0,92.0,98.0,97.0,98.0,98.0,91.0,90.0,96.0,92.0,78.0,95.0,94.0,,92.0,,,82.0,100.0,96.0,,100.0,100.0,94.0,96.0,98.0,98.0,67.0,95.0,100.0,88.0,,97.0,94.0,93.0,,,91.0,99.0,100.0,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,98.0,100.0,99.0,99.0,
11X270 - Academy for Scholarship and Entrepreneurship: A College Board School,,64.0,74.0,66.0,84.0,81.0,94.0,87.0,68.0,50.0,83.0,63.0,58.0,66.0,79.0,,90.0,,,69.0,96.0,95.0,,99.0,99.0,77.0,92.0,100.0,91.0,41.0,84.0,96.0,80.0,,87.0,80.0,91.0,96.0,,78.0,94.0,91.0,,,,,,,,,,,,,,,,,,94.0,92.0,99.0,95.0,85.0,98.0,96.0,94.0,
11X275 - High School of Computers and Technology,,62.0,74.0,70.0,84.0,82.0,90.0,91.0,65.0,53.0,76.0,68.0,56.0,73.0,82.0,,91.0,,,68.0,95.0,95.0,,99.0,99.0,90.0,96.0,95.0,93.0,79.0,96.0,90.0,66.0,,100.0,83.0,87.0,99.0,,84.0,99.0,95.0,,,,,,,,,,,,,,,,,,98.0,96.0,100.0,98.0,77.0,99.0,98.0,98.0,
11X288 - Collegiate Institute for Math and Science,,70.0,81.0,74.0,88.0,84.0,91.0,90.0,73.0,61.0,85.0,71.0,60.0,83.0,85.0,,83.0,,,59.0,94.0,89.0,,99.0,92.0,81.0,82.0,91.0,84.0,56.0,85.0,84.0,67.0,,75.0,87.0,72.0,,,67.0,72.0,84.0,,,,,,,,,,,,,,,,,,94.0,90.0,94.0,92.0,81.0,94.0,94.0,85.0,
